ᐋ,U
ᐋᐦᒐᓂᒋᐦᒑᐣ,UhtsUnItsIhtsUn
ᐋᐦᒐᓂᒋᐦᒉᐤ,UhtsUnItsIhtsew
ᐋᐦᒐᓂᒋᐦᒌᐢ,UhtsUnItsIhtsis
ᐋᐦᒐᓂᒋᐦᒋᕀ,UhtsUnItsIhtsIy
ᐋᐦᒐᓂᐢ,UhtsUnIs
ᐊᐦᒑᐸᐦᒋᕀ,UhtsUpUhtsIy
ᐊᐦᒑᐹᐦᑎᐠ,UhtsUpUhtIk
ᐊᐦᒑᐲᐦᑳᑫᐤ,UhtsUpihkUkew
ᐊᐦᒑᐲᐦᑲᐁᐧᐤ,UhtsUpihkUwew
ᐊᐦᒑᐲᐦᑫᐤ,UhtsUpihkew
ᐊᐦᒑᐱᕀ,UhtsUpIy
ᐋᐦᒋ,UhtsI
ᐋᐦᒋ ᐱᑯ,UhtsI pIkO
ᐋᐦᒋᐦᐁᐤ,UhtsIhew
ᐋᐦᒌᐦᐁᐤ,Uhtsihew
ᐋᐦᒋᐦᐃᓱᐤ,UhtsIhIsOw
ᐋᐦᒋᐦᑖᐤ,UhtsIhtUw
ᐋᐦᒋᑳᐸᐃᐧᐤ,UhtsIkUpUwIw
ᐋᐦᒋᑯ,UhtsIkO
ᐋᐦᒋᓈᑯᐦᐁᐤ,UhtsInUkOhew
ᐋᐦᒋᓈᑯᐦᐃᓱᐤ,UhtsInUkOhIsOw
ᐋᐦᒋᓈᑯᐦᑖᐤ,UhtsInUkOhtUw
ᐋᐦᒋᓈᑯᓯᐤ,UhtsInUkOsIw
ᐋᐦᒋᐸᔨᐤ,UhtsIpUyIw
ᐋᐦᒋᐱᒌᐦᒋᑫᐤ,UhtsIpItsihtsIkew
ᐋᐦᒋᐱᒌᐦᐁᐤ,UhtsIpItsihew
ᐋᐦᒋᐱᒌᐦᐃᐁᐧᐤ,UhtsIpItsihIwew
ᐋᐦᒋᐱᒌᐦᑖᐤ,UhtsIpItsihtUw
ᐋᐦᒋᐱᒋᐤ,UhtsIpItsIw
ᐋᐦᒋᐱᑕᒼ,UhtsIpItUm
ᐋᐦᒋᐱᑌᐤ,UhtsIpItew
ᐋᐦᒋᓰᐦᐁᐤ,UhtsIsihew
ᐋᐦᒋᓰᐦᐅᐤ,UhtsIsihOw
ᐋᐦᒋᓰᐦᑖᐤ,UhtsIsihtUw
ᐋᐦᒋᓯᔨᐦᑳᓱᐤ,UhtsIsIyIhkUsOw
ᐋᐦᒋᓯᔨᐦᑳᑌᐤ,UhtsIsIyIhkUtew
ᐋᐦᒌᐤ,Uhtsiw
ᐊᐦᐁᐤ,Uhew
ᐋᐦᐁᕀ,Uhey
ᐊᐦᑳᒪᓯᓂᕀ,UhkUmUsInIy
ᐋᐦᑲᒣᔨᐦᑕᒼ,UhkUmeyIhtUm
ᐋᐦᑲᒣᔨᐦᑕᒧᐃᐧᐣ,UhkUmeyIhtUmOwIn
ᐋᐦᑲᒣᔨᒣᐤ,UhkUmeyImew
ᐋᐦᑲᒣᔨᒧᑐᑕᒼ,UhkUmeyImOtOtUm
ᐋᐦᑲᒣᔨᒧᐤ,UhkUmeyImOw
ᐋᐦᑲᒣᔨᒧᐃᐧᐣ,UhkUmeyImOwIn
ᐋᐦᑲᒥᐦᑖᐤ,UhkUmIhtUw
ᐋᐦᑲᒥᒣᐤ,UhkUmImew
ᐋᐦᑭ,UhkI
ᐋᐦᑭ,UhkI
ᐋᐦᑭ ᐃᑖᑊ,UhkI ItUp
ᐋᐦᑭᐠ,UhkIk
ᐋᐦᑭᑯᐢ,UhkIkOs
ᐋᐦᑭᑯᐢᑳᐤ,UhkIkOskUw
ᐋᐦᑭᑯᓴᐧᔮᐣ,UhkIkOswUyUn
ᐋᐦᑭᑯᐃᐧᔮᐢ,UhkIkOwIyUs
ᐋᐦᑭᑯᐃᐧᔨᐣ,UhkIkOwIyIn
ᐋᐦᑭᓰᐦᐅᐤ,UhkIsihOw
ᐋᐦᑭᐢᑰᐢ,UhkIskos
ᐋᐦᑭᐢᑯᐤ,UhkIskOw
ᐋᐦᑯᐦᐁᐤ,UhkOhew
ᐋᐦᑯᐦᐃᓱᐤ,UhkOhIsOw
ᐋᐦᑯᐦᑌᐃᐧᓯᐤ,UhkOhtewIsIw
ᐋᐦᑯᓰᐦᐁᐤ,UhkOsihew
ᐋᐦᑯᓰᐦᐃᑐᐊᐧᐠ,UhkOsihItOwUk
ᐋᐦᑯᓯᐯᐤ,UhkOsIpew
ᐋᐦᑯᓯᐯᐃᐧᐣ,UhkOsIpewIn
ᐋᐦᑯᓰᐢᑲᐁᐧᐤ,UhkOsiskUwew
ᐋᐦᑯᓯᐢᑭᐤ,UhkOsIskIw
ᐋᐦᑯᓯᐤ,UhkOsIw
ᐋᐦᑯᓰᐊᐧᓯᓇᐦᐃᑲᐣ,UhkOsiwUsInUhIkUn
ᐋᐦᑯᓰᐃᐧᑲᒥᐠ,UhkOsiwIkUmIk
ᐋᐦᑯᓰᐃᐧᑲᒥᑯᐢ,UhkOsiwIkUmIkOs
ᐋᐦᑯᓯᐃᐧᐣ,UhkOsIwIn
ᐋᐦᑯᓯᐃᐧᓂᐢ,UhkOsIwInIs
ᐋᐦᑯᐢᐸᑯᓯᐤ,UhkOspUkOsIw
ᐋᐦᑯᐢᐸᑲᐧᐣ,UhkOspUkwUn
ᐋᐦᑯᔭᐁᐧᓯᐤ,UhkOyUwesIw
ᐋᐦᑲᐧᒋᐦᒋᑲᐣ,UhkwUtsIhtsIkUn
ᐋᐦᑲᐧᒋᐦᒋᑲᓂᐢ,UhkwUtsIhtsIkUnIs
ᐋᐦᑲᐧᒋᐦᑖᐤ,UhkwUtsIhtUw
ᐋᐦᑲᐧᒋᑲᐣ,UhkwUtsIkUn
ᐋᐦᑲᐧᒋᐤ,UhkwUtsIw
ᐋᐦᑳᐧᑲᒥᐣ,UhkwUkUmIn
ᐋᐦᑳᐧᑲᒥᐤ,UhkwUkUmIw
ᐋᐦᑲᐧᑭᐦᑌᐤ,UhkwUkIhtew
ᐋᐦᑲᐧᑭᓱᐤ,UhkwUkIsOw
ᐋᐦᑲᐧᐣ,UhkwUn
ᐋᐦᑳᐧᐸᐦᑌᐤ,UhkwUpUhtew
ᐋᐦᑳᐧᐢᑌᐤ,UhkwUstew
ᐋᐦᑲᐧᑖᐋᐧᑫᐤ,UhkwUtUwUkew
ᐋᐦᑲᐧᑖᐁᐧᐤ,UhkwUtUwew
ᐋᐦᑲᐧᑎᐦᒋᑲᐣ,UhkwUtIhtsIkUn
