ཧ་ཅང་བཟང་།,ha txaq zaq
གློག་གི།,log gi
static,བརྟན་པོ།,Ten po
སྒུལ་ཤུགས་ལྡན་པའི།,gul xug Cen pI
རྫོགས་པ།,dzog pa
beginning,འགོ་འཛུགས་པ།,go dzug pa
འབྲིང་བ།,diq wa
སྐྱིད་པོ་གཏོང་རུང་བ།,kyi po Toq ruq wa
ལྷུག་ལྷུག,lhug lhug
རེ་བ་བྱས་པ།,rE wa djE pa
ཧ་ལས་དགོས་པའི།,ha le goe  pi
གོ་གནས་སྤར་བ།,go ne par wa
ཕྱི་ཡི།,txhi yi
ནང་གི,naq gi
རྫུན།,dzun
བདེན་པ།,Cen pa
ཚད་གཞི།,tshe ji
རྫུན་མ།,dzun ma
བཅོས་མ།,txoe ma
རང་བཞིན་གྱིས།,raq jin gi
སྟོབས་ཤུགས།,Tob xug
སྐྱོ་པོ།,kyo po
ཆུ་རྒྱུག་རྒྱུག,txhu gyug gyug
ལས་དང་པོ་བ།,le Caq po wa
ཟ་རུང་།,za ruq
ཟ་མི་རུང་བ།,za mi ruq wa
བརླགས་པ།,lag pa
རྙེད་པ།,nyE pa
ཆག་ཉེན་ཅན།,txhag nyEn txen
བརྟན་པོ།,Ten po
རང་དབང་།,raq waq
སོས་པ།,soe pa
kind,བཟང་པོ།,zaq po
གད་མོ་བྲོ་པོ།,ge mo do po
བ་སྤུ་ཟིང་ཟིང་།,ba pu ziq ziq
རབ་རིབ།,rabrib
སྤྱིར་བཏང་གི,txi Taq gi
བྱེ་བྲག་པ།,dje dag pa
ཕན་ཐོགས་ཅན།,phen Thogpa
གནོད་འཚེ་ཅན།,No tshE txen
བརྗིད་ཉམས་ཅན།,dji nyam txen
ངེས་མེད་ཀྱི།,qE mE kyi
ལམ་ལུགས་ཀྱི།,lam lug kyi
དམ་པོ།,Cam po
སྤུ་ཅན།,pu txen
སྤུ་མེད།,pu mE
སྐྱིད་པོ།,kyi po
ཡིད་སྐྱོ་བ།,yi kyo wa
ཁྲོ་བ།,tho wa
མགོ་འཐོམ་པ།,go com pa
བཟོད་སྲན་ཅན།,zo sren txen
ཞི་འཇམ་ཅན།,ji djam txen
རྒོད་པོ།,goe po
མཁྲེགས་པོ།,thrEg po
སོབ་སོབ།,sob sob
མཁྲེགས་རྡོག,thrEg Cog
གཤེར་གཟུགས་ཅན།,xeR zug txen
རླངས་གཟུགས་ཅན།,laq zug txen
སྙིང་ཐག་པའི།,nyiq cag pi
ཤེད་གཟུགས་ཅན།,xE zug txen
སྤུས་ཚད།,pu tshe
མཐོ་པོ།,co po
དམའ་བོ།,ma po
སྤར་བ།,paR wa
གསོད་པ།,soe pa
ཚ་པོ།,tsha po
ཧ་ཅང་གྲང་མོ།,ha txaq daq mo
ལྟོགས་པ།,Tog pa
སྐོམ་པ།,kom pa
མཐའ་མ།,ca ma
ཕྱི་པོ།,txhi po
སྔ་པོ།,qa po
གལ་གནད་ཅན།,gal Ne txen
སྐད་སྒྲ་ཆེན་པོ།,ke da txhEn po
ཁ་ཁུ་སིམ་པོ།,kha khu sim po
གཞི་རྩའི།,ji tsai
རིམ་པ་གཉིས་པ།,rim pa nyi pa
གཙོ་བོ།,tso wo
བར་མཚམས་མེད་པའི།,baR tsham mE pi
གྲ་སྒྲིག,da dig
དོག་པོ།,Cog po
གུ་ཡངས་པོ།,gu yaq po
དགོས་གནད་ཅན།,goe Ne txen
ཁྲིམས་འགལ་གྱི།,thim gal gi
ལྡོག་ཕྱོགས།,Cog txhog
ཁ་གཏད།,kha Te
ཡང་བསྐྱར།,yaq kyaR
དཀྱུས་མ།,kyu ma
མངོན་དུ་མ་གྱུར་པའི།,qon Cu ma gyuR pi
སྲིད་པ།,si pa
འབྱུང་སྲིད་པའི།,djuq si pi
འབྱུང་མི་སྲིད་པ།,djuq mi si pi
ཏག་ཏག,Tag Tag
ནོར་བ།,noR wa
ཉེན་ཁ་མེད་པ།,nyEn kha mE pa
ཡ་མཚན་པོ།,ya tshen po
སྔ་རབས་ཀྱི།,qa rab
washy,རློན་པ།,lon pa
ཡོངས་རྫོགས།,yoq dzog
བེད་སྤྱོད་ཅན།,bE txoe txen
བསམ་བློའི།,sam loi
གཟུགས་པོའི།,zug poi
ཆོས་ཀྱི།,txhoe kyi
འདམ་ཀའི།,Cam kai
ཉེ་བར་མཁོ་བ།,nyE bar kho wa
མཐར་སྐྱེལ་བྱེད་པ།,caR kyEl djE pa
ལད་ཟློས་བྱེད་པ།,le Coe bjE pa
རན་པོ་བཟོ་བ།,ren po zo wa
སྣོན་པ།,Non pa
སྙོམ་སྒྲིག་བྱེད་པ།,nyo dig dje pa
སློབ་སྟོན་བྱེད་པ།,lob Ton djE pa
ཕྱོགས་སྡོམ་རྒྱག་པ།,txhog Com gyag pa
མོས་མཐུན་བྱེད་པ།,mo cun djE pa
རེས་མོས་བྱེད་པ།,rE mo djE pa
