ཧ་ཅང་བཟང་།,ha txaq zaq
ཚིག་མཛོད།,tsig dzoe
སྒོ།,go
རྔ་།,qa
སྒྲ་སྙན།,da Nyen
གློག་དཔྱད་རིག་གནས།,log txe rig Ne
ཀ་ལའི་མགོ,ka laI go
གླིང་བུ།,liq bu
ཁ་ལག།,kha lag
ཤེལ་ཕོར།,xEl phoR
ཁང་པ།,khaq pa
ཤ།།,xa
འོ་མ།,hho ma
སྙོམས་ངོས།,Nyom qoe
སྒོར་སྒོར།,gor gor
གྲུ་གསུམ།,du sum
གྲུ་བཞི།,du ji
གྲུ་བཞི་ནར་མོ།,du ji naR mo
ཐིག,cig
ཚངས་ཐིག,tsaq cig
གུག་གུག,gug gug
ཕྱོགས།,txhog
མགྱོགས་ཚད།,gyog tse
འབྱུང་ཁུངས།,djuq khuq
དམིགས་ས།,mig sa
རྐང་འཁོར།,kaq khoR
རླབས།,lab
གཅུས་སྒྲིམ་ཅན།,txu dim txen
རྒྱང་ཐག,gyaq cag
མཐའ།,ca
ངོས།,qoe
ཕྱིའི་རྣམ་པ།,txhi Nam pa
མཐོ་ཚད།,co tse
ཁ་ཞེང་།,kha jEq
ཉེ་འདབས།,nyE Cab
འདྲ་མཚུངས་ཀྱི།,da tsuq ki
ཐད་ལངས།,ce laq
གོ་གནས།,go Ne
ཚད་གཞི།,tse ji
proportion,སྡུར་ཚད།,CuR tse
ཨ་ལོང་།,aa loq
དབྱིབས།,yib
ནུས་པ།,nue pa
སྙོམས་སྒྲིག,Nyom dig
ད་ལྟ།,Ca Ta
རེས་མོས་ཀྱི།,rE moe kyi
དངུལ་འབོར།,qul bor
ལན།,len
རོབ་རྩིས་ཀྱི།,rob tsi ki
སྔོན་གྱི།,qon gi
རྗེས་མ།,djE ma
གནས་སྟངས།,Ne Taq
ཡིན་ཤག,yin xag
དམིགས་གཏད།,mMig sal
དོ་སྣང་།,Co Naq
རྨང་གཞི།,mMaq ji
སྤྱོད་ལམ།,txoe lam
ཡིད་ཆེས།,yi txE
ཕན་ཐོགས་པ།,phen cog pa
ཅུང་ཟད།,txuq ze
དུམ་བུ།,Cum bu
བཅག་པ།,txag pa
འཁྱེར་བ།,khER wa
མེ་ཁུང་།,mE khuq
འཚིག་པ།,tshig pa
ཤོང་ཚད།,xoq tshe
སྡེ་ཚན།,CE tshen
ཨར་འདམ།,aaR Cam
ཞིབ་བཤེར།,jib xER
འགྱུར་བ།,gyuR wa
གཤིས་ཀ,xi ka
འདམ་ང།,Cam qa
ཆམ་པ།,txham pa
ལྟ་ཚུལ།,Ta tsul
གནས་སྟངས།,Ne Taq
བཀྲ་ཤིས་བདེ་ལེགས།,ta xi CE lEg
འབྲེལ་བ།,dEl wa
སྣོད།,Noe
ཕྱི་སྐོགས།,txhi kog
བག་ཕེབས།,bag phEb
སེར་ཁ།,sER  kha
པྲོག་ཞུ།,tog ju
ཐག་གཅོད།,cag txoe
རྒྱན་བཀོད།,gyen koe
མཐུག་པོ།,cug po
གཏིང་།,Tiq
དོགས་པ།,Cog pa
ངེས་ཅན།,qE txen
ཆུ་འཐེན་པ།,txhu cEn pa
རྨི་ལམ།,mMi lam
འཐུང་བ།,cuq wa
འཛག་པ།,dzag pa
སྣུམ་འཁོར་གཏོང་བ།,Num khoR Toq wa
སྐུལ་ཤུགས།,kul xug
འབྲས་བུ།,de bu
ནུས་པ།,nu pa
ཁོར་ཡུག།,khoR yug
ཚོད་དཔག,tshoe pag
ཁྱད་ཆོས།,khe txhoe
ཞལ་ལ།,jal la
ཤུགས།,xug
གྲོགས་པོ།,dog po
མདུན་དུ།,Cun Cu
སྐྱིད་ཚོར།,ki tsoR
མ་འོངས།,ma hhoq
རྩེད་མོ།,tsE mo
བར་སྟོང་།,baR Toq
བརྡ་སྟོན།,Ca Ton
དམིགས་ཡུལ།,mMig yul
བརྡ་སྤྲོད།,Ca toe
ཐང་།,caq
ཚོགས་པ།,tsog pa
ལམ་སྟོན་པ།,lam Ton
གོམས་གཤིས།,gom xi
ཚ་དྲོད།,tsa doe
གོ་བརྡ།,go Ca
ཁྱིམ།,khim
རེ་བ།,rE wa
ཆུ་ཚོད།,txu tsoe
མི།,mi
རྣམ་དག,Nam Cag
འཁྲུལ་གཟུགས།,thul zug
གནས་ཚུལ།,Ne tsul
དྲག་ཚད།,dag tse
འདུན་པ།,Cun pa
དང་ཞེན།,Caq jEn
ཀྱལ་ཀ,kyal ka
ཤིང་ཏོག་ཁུ་བ།,xiq Tog khu wa
ཡོན་ཏན།,yon Ten
སྐད་ཡིག,ke yig
ཡི་གེ,yi gE
མི་ཚེ།,mi tsE
འོད།,hhoe
ཚད།,tshe
ཐོ་གཞུང་།,co juq
བརྩེ་དུངས།,tsE Cuq
ཆང་ས།,txhaq sa
བོངས་ཚད།,boq tse
དངོས་པོ།,qoe po
དྲན་པ།,den pa
དྲན་ཤེས།,den xE
སེམས།,sEm
སྐར་མ།,kar ma
མ་དཔེ།,ma pE
དངུལ།,qul
གྲྭ་བ།,da wa
ཟླ་བ།,Ca wa
ཟླ་བ།,Ca wa
ཀུན་ནས་སློང་བའི་བྱ་སྤྱོད།,kun ne loq wi dja txoe
འདམ་བག,Cam bag
དོག་པོ།,Cog po
རང་བཞིན།,raq jin
དགོས་མཁོ།,goe kho
དགོས་པ།,goe pa
ཚང་།,Xaq
དབང་རྩའི་བརྡ་རྫས།,waq tsai Ca dze
མཚན་མོ།,tshen mo
བྱང་ཕྱོགས་ཀྱི།,djaq txog ki
ལྷོ་ཕྱོགས་ཀྱི།,lho txog ki
ཤར་ཕྱོགས་ཀྱི།,xaR txog ki
ནུབ་ཕྱོགས་ཀྱི།,nub txog ki
ཨང་གྲངས།,aa daq
དབང་དུ་སྡུད་པ།,waq Cu Cu pa
piece,ཆ་ཤས།,txha xe
ཕྲ་རབ།,tha rab
འདས་པ།,Ce pa
ལམ།,lam
བར་མཚམས་དུས་ཐུང་།,baR tsam Cu cuq
ཆུ་རྡེའུ།,txu CE hhu
stack,ཕུང་གསོག,phuq sog
ས་གནས།,sa Ne
ནུས་པ་ཅན་གྱི།,Nue pa txen gi
ནུས་པ།,Nue pa
སྦྱོང་བརྡར།,djoq CaR
ད་ལྟ་བ།,Ca Ta wa
ཡིན་རུང་།,yin ruq
བྱ་བའི་རྒྱུད་རིམ།,dja wi gyu rim
ལས་རིམ།,le rim
སྒྲ་གདངས།,da Caq
དྲི་བ།,di wa
ཁ་ཁུ་སིམ་པོ།,kha khu sim po
རྒྱུ་མཚན།,gyu tsen
རིག་པ།,rig pa
འཕྲི་བ།,thi wa
གཟུགས་བརྙན།,zug Nyen
ཁང་མིག,khaq mig
གཉིས་པ།,Nyi pa
གྲིབ་ནག,dib nag
གོམ་པ།,gom pa
མི་གཡོ་བ།,mi yo wa
སྒྲུང་།,duq
རལ་གྲི།,ral di
ལམ་ལུག,lam lug
བཤད་པ།,xe pa
ཅ་ལག,txa lag
ཉོ་ཚོང་།,nyo tsoq
སྐད་ཅོར།,ke txoR
ཅོག་ཅོག་པ།,txog txog pa
རིན་ཐང་།,rin caq
སྐད།,ke
གྱང་།,gyaq
རྒྱལ་ཁ།,gyal kha
དད་པ།,Ce pa
བློ་ཁོག,lo khog
སྙེམ་ཚུང།,NyEm txhuq
བྱམས་པ།,djam pa
ངོ་མཚར།,qo tshaR
ཤིང།,xiq
བལ།,bal
ཚིག,tshig
ཪིན་ཐང་།,rin caq
ལོ།,lo
འགྲོས།,doe
འགྲོས་སྟངས།,doe Taq
བློ་སྟོབས་སྐྱེད་རུང་གི་བྱ་ལས།,lo Tob kE ruq gi dja le
སྐབས་དོན།,kab Con
བྲག་ཕུག,dag phug
འཇིག་རྟེན།,djig Ten
ཤ་མོ།,xa mo
ལྷ།,lha
གསར་བསྐྲུན།,saR tun
གནད་དོན།,Ne Con
མགོ་རྙོག,go Nyog
གཟའ་ཟླ་བ།,za Ca wa
གཟའ་མིག་དམར།,za mig maR
གཟའ་ལྷག་པ།,za lhagpa
གཟའ་ཕུར་བུ།,za phuR bu
གཟའ་པ་སངས།,za pa saq
གཟའ་སྤེན་པ།,za pEn pa
གཟའ་ཉི་མ།,za nyi ma
སྤྱི་ཟླ་དང་པོ།,txi Ca Caq po
སྤྱི་ཟླ་གཉིས་པ།,txi Ca nyi pa
སྤྱི་ཟླ་གསུམ་པ།,txi Ca sum pa
སྤྱི་ཟླ་བཞི་པ།,txi Ca ji pa
སྤྱི་ཟླ་ལྔ་པ།,txi Ca qa pa
སྤྱི་ཟླ་དྲུག་པ།,txi Ca dug pa
སྤྱི་ཟླ་བདུན་པ།,txi Ca Cun pa
སྤྱི་ཟླ་བརྒྱད་པ།,txi Ca gye pa
སྤྱི་ཟླ་དགུ་པ།,txi Ca gu pa
སྤྱི་ཟླ་བཅུ་པ།,txi Ca txu pa
སྤྱི་ཟླ་བཅུ་གཅིག,txi Ca txu txig
སྤྱི་ཟླ་བཅུ་གཉིས།,txi Ca txu Nyi
ཞི་བདེ།,ji CE
དགོངས་ཡངས།,goq yaq
you,ཐུགས་རྗེ་ཆེ།,cug djE txhE
re welcome,དགའ་བསུ་ཡོད།,ga su yoe
སྐུ་མཁྱེན།,ku khEn
དགོངས་པ་མ་འཚོམ།,goq pa ma tsom
གཅིག,txig
གཉིས།,Nyi
གསུམ།,sum
བཞི།,ji
ལྔ།,qaa
དྲུག,dug
བདུན།,Cun
བརྒྱད།,gye
དགུ།,gu
བཅུ།,txu
བཅུ་གཅིག,txu txig
བཅུ་གཉིས།,txu Nyi
