𒀊𒌋,abu
𒉘𒆪,ramku
𒈩𒁺,riddu
𒋆𒈬,rigmu
𒆗𒋢,ripsu
𒊬𒋆𒌅,sarriKtu
𒋚𒄷,sihhu
𒋝𒊒,sikru
𒆹𒆬𒌋,sukkuku
𒌀𒄣,sunKu
𒋩𒊑,surri
𒋰𒆪,tabku
𒋳𒅆𒌅,taklimtu
𒋳𒌓𒌅,takpertu
𒊑𒈜𒌅,tallultu
𒋰𒄫𒌅,tapKertu
𒌨𒈛𒌅,taxrihtu
𒌁𒆪,terku
𒌁𒍮,terXu
𒁴𒊒,timru
𒌇𒆰,tukkulu
𒁾𒋝𒆪,tupxikku
𒌅𒀪𒀪𒈬,tu''umu
𒌓𒄙𒌋,udduru
𒅆𒁉𒌋,uhhuru
𒄴𒈝𒌋,uhhuzu
𒉀𒃲𒇻,uhulgallu
𒌌𒍮,ulXu
𒌝𒁺,umdu
𒄑𒆵,umma
𒌵𒃲𒇻,urigallu
𒃲𒁔𒇻,uxumgallu
𒍑𒇇,uxxuru
𒍑𒋥,uxxuxu
𒉿𒂟,waXaabu
𒍨𒊒,zikru
𒊿𒆳𒌋,zinnatu
𒆳𒋺𒄽𒌋,xaddattunu
𒋚𒆠𒆗𒋸,xahsasuttu
𒉓𒁾𒁍,xanduppu
𒊬𒆪,xarku
𒋀𒍠,xaXbutu
𒋓𒅅𒌅,xeriktu
𒋓𒆪,xerku
𒌋𒂙𒊒,xibirru
𒈫,xina
𒈨𒆪,xipku
𒈨𒌅,xiptu
𒋚𒊒,xuburru
𒂄𒁍,xulpu
𒋳𒁵,xummunu
𒊒𒇻,xuplu
𒊒𒉻𒌋,xupxuKu
𒋤𒊿𒌋,xutruku
𒋤𒌅,xuttu
𒇡𒄷,Xarhu
𒉣𒁍,Xilbu
𒍮𒁺,Ximdu
𒍮𒄯,Xummuru
𒀝𒊒,agru
𒀭𒂟𒌅,anXabtu
𒉈𒆳𒌋,billatu
𒁴𒌅,dimtu
𒄑𒊑𒇻,gixtallu
𒄩𒉿,hamuxtu
𒄩𒁹𒋗,hamxu
𒋻𒇻,haxlu
𒅋𒍮,ilXu
𒄑𒋢,issu
𒄑𒌋,isu
𒆏𒇻,kablu
𒃰𒅈𒊒,katarru
𒋃𒌋,lagu
𒌓𒈬,lihmu
𒇷𒀪𒋗,li'xu
𒈝𒄷𒄭𒌋,lummudu
𒈥𒋺𒌋,mardatu
𒅂𒇻,midlu
𒄷𒄭𒅈𒋆𒌅,mudarriktu
𒄷𒌷,pagalu
𒌓𒈩𒌋,parritu
𒌓𒅖𒌅,pirixtu
𒃲𒇲𒌋,Kallalu
𒆲𒀮𒌋,Kunnabu
𒊩𒄣,salKu
𒊕𒄣,sanKu
𒆹𒌅,suKtu
𒋰𒇻,tablu
𒊑𒋃𒆪,tallakku
𒋻𒂍,tarbiitu
𒌒𒁍,uppu
𒁁𒀝𒆪,zazakku
𒊩𒂅,xalTu
𒋓𒉡,xernu
𒂄𒈝𒌅,xullumtu
𒍮𒀉𒌅,Ximittu
𒅈𒈬,armu
𒀜𒈝𒌋,athusu
𒁍𒌈𒌅,buTumtu
𒅅𒊒,egru
𒄤𒍪,gazzu
𒆏𒀭𒆪,kabiluku
𒆠𒆘𒌋,karaxu
𒆧𒉓𒌋,kixxanu
𒈜𒆜𒌋,lubbuxu
𒆳𒉡,matnu
𒈩𒊌𒆪,mesukku
𒃻𒌋,nindanu
𒄥𒈛𒌋,Kurruhu
𒊩𒋡𒌅,raKKuutu
𒋧𒌋𒅗𒌋,summuhu
𒋻𒈗𒇻,tarlugallu
𒀫𒍪,zurzu
𒋀𒀠𒇻,xaxallu
𒇡𒊒,Xarru
𒁍𒀭𒆠𒅁,buddudu
𒇌𒇧𒇻,bunbullu
𒌨𒋗,daxxu
𒅅𒀖𒌋,ekletu
𒉌𒌓𒂗,enna
𒄬𒈜𒌋,hallupu
𒄩𒁹𒁹,hamTix
𒄭𒀭𒁺,hiddu
𒅕𒂅,irTu
𒆤𒅔𒉡,kidinnu
𒆥𒅖𒌅,kinixtu
𒆗𒆗𒌅,laplaptu
𒌨𒌅,liKtu
𒁑𒊒,magarru
𒈬𒂟𒉿𒌋,muXappiu
𒍑𒅕𒌋,nitiru
𒈜𒋻𒌋,pahhizu
𒄷𒆪,pakku
𒉻𒄷,pathu
𒆥𒆳𒌋,Kinnatu
𒋀𒋝𒌅,sissiktu
𒌨𒅆𒌅,taxlimtu
𒌌,ula
𒊻𒌌𒌅,uXultu
𒌑𒋻𒌋,xamhaXu
𒊒𒄴𒊒,xupuhru
𒍝𒀭,Xad
𒉌𒅎𒌅,Xalimtu
𒉌𒀉𒌅,Xalittu
𒉌𒈝,Xallumu
𒋰𒄷,Tabhu
𒄴𒁹𒈠,ahamma
𒂃𒉡,duhnu
𒄯𒁍𒁍,harbubu
𒄭𒁹𒌅,himtu
𒀉𒄯,ithuru
𒃰𒄠𒈬,kadammu
𒄒𒇻,kiplu
𒈨𒀭𒊺𒉀𒍝𒉡,kurkuzannu
𒋻𒅎,kuttumu
𒃞𒅎𒂗,menimeni
𒀮𒄭𒄊𒌋,napruxu
𒀮𒂅,napTu
𒆧𒌅,Kixtu
𒄥𒄫𒋢,Kurpissu
𒄥𒊒𒊒,Kurruru
𒊩𒁺𒌋,rakkubu
𒊏𒀪𒁍,ra'bu
𒋥𒁍,raTbu
𒄽,tahta
𒋚𒂅,xahTu
𒊩𒆳𒌋,xallatu
𒂄𒈝,xullumu
𒊿𒂇,xunagu
𒋩𒁺,xurdu
𒀝𒆰𒇻,akkullu
𒂗𒌅,entu
𒆰𒀪,kulu'u
𒁽,laasimu
𒄯𒀝𒆥𒌋,muraKKiu
𒄷𒄭𒋺𒌋,muttatu
𒄣𒍠,Kumbutu
𒆗𒀉𒌅,ripittu
𒊕𒌌,sagullu
