𒀊𒌋,abu
𒋻𒀭𒉡,hazannu
𒋻𒁍,haXbu
𒄽𒇧𒌋,hubbulu
𒄽𒌌,hubullu
𒄽𒁍,huppu
𒄯𒊑,hurri
𒄷𒂟,huXaabu
𒀉𒌋,idu
𒅅𒋼𒀀𒌋,ikkaru
𒅋𒆪,ilku
𒅎𒀴,imeru
𒃮,irtu
𒄑𒂠𒆳𒌋,ishunnatu
𒉺𒊺𒉡,isinnu
𒄑𒋩𒊑,issurri
𒌗𒉡,itinnu
𒅖𒌓𒌅,ixpartu
𒄑,iXu
𒆏𒈗,kabxarru
𒆕𒅈𒁷𒉡,kakardinnu
𒆕𒆪,kakku
𒄰𒋢,kamsu
𒃶𒉡,kannu
𒆏𒁍,kappu
𒋼𒀀𒅔𒌅,karintu
𒋼𒀀𒆪,karku
𒋼𒀀𒈬,karmu
𒋼𒀀𒈬,karmu
𒆜𒁍,kaspu
𒆜𒁍,kaspu
𒆜𒋢𒁍,kassupu
𒄫𒆪,kerku
𒄒𒋢,kibsu
𒆥𒀜𒌅,kinattu
𒄒𒁍,kippu
𒆦𒇻,kisallu
𒆠𒋀𒆕𒌅,kissatu
𒆲𒉡𒋗,kunnuxu
𒆳𒁹𒋗,kurdixxu
𒆳𒉆𒌅,kursimtu
𒂊𒋤𒄽𒁹𒆳𒌋,kurummatu
𒋻𒀠𒇻,kutallu
𒋢𒅁𒁍,kuzippu
𒆗𒌅,laptu
𒆳𒁇𒌋,madbaru
𒆳𒋺𒌅,maddattu
𒈤𒍮,mahXu
𒈠𒃼𒋥𒌋,maKarratu
𒈠𒃼𒌅,maKartu
𒆳𒄿,mati
𒈦𒂗𒉡,maxennu
𒈦𒃶𒌋,maxkanu
𒈦𒆪,maxku
𒈦𒂊𒋤𒄽,maxkuru
𒈦𒋡,maxKuu
𒈤𒊒,mehru
𒈨𒀪𒌅,me'atu
𒆪𒀭𒌅,middatu
𒈩𒇻,mixlu
𒈮𒄥,mugguru
𒈮,muk
𒈮𒅔𒉡,mukinnu
𒁵𒅘𒊒,munnagru
𒈲𒅈𒆧𒌋,muxarkisu
𒈲𒇻,muxlu
𒈬𒉌𒇻,muXallu
𒅘𒆗𒌋,naglabu
𒅘𒄯,nagmuru
𒈛𒀠𒇻,nahallu
𒅘𒋢,naksu
𒉀𒀭𒁺,namaddu
𒀮𒋗,napxu
𒅘𒋸,naKuttu
𒉏𒊏𒀪,nimra'u
𒉏𒊒,nimru
𒊩𒌨𒀉𒌅,niKittu
𒌋𒌋𒄷,nishu
𒉡𒁁𒌅,nubattu
𒉡𒉺𒅎𒈬,nuhatimmu
𒉡𒋼𒀀𒅁𒁍,nukaribbu
𒄷𒊒,pagru
𒈜𒊒,pahru
𒁄𒄷,palhu
𒁄𒇺𒌋,pallixu
𒉼𒋐𒌋,pannugu
𒄷𒁺,paKdu
𒌓𒊑𒍮,parriXu
𒌓𒉣𒇻,parzillu
𒉈𒆪,pilku
𒋝𒀉𒌅,piKittu
𒄫𒉡,pixannu
𒈜𒄷,puhhu
𒃶𒋗,Kanxu
𒋗𒁷𒌋,Kattinu
𒄫𒋢,Kirsu
𒋡,Kuu
𒊩𒋢,raksu
𒊩𒋢,raksu
𒊐𒋗,rapxu
𒆸𒆪,rimku
𒆳𒁷𒌋,saddinu
𒊬𒋼𒉡,sartennu
𒋛𒀪𒊒,se'ru
𒉆𒌅,simtu
𒌓𒅗𒁇𒊒,siparru
𒋢𒁓𒄃𒇻,supurgillu
𒋰𒆪,tabku
𒋺𒉡,tadnu
𒋻𒍮,tarXu
𒋫𒀪𒀪𒈬,ta''umu
𒁳𒆪,tibku
𒋾,tibnu
𒌀𒇻,tillu
𒁴𒈬,timmu
𒁾𒐐,tupninnu
𒌦𒄣,unKu
𒍑𒋗,uxxu
𒊻𒍮𒍮,uXXuXu
𒉿𒆳𒌅,yamattu
𒍠𒄥,zaKKuru
𒍨𒉡,ziKnu
𒍨𒁍,ziKpu
𒍨𒄥𒋥𒌋,ziKKurratu
𒍪𒉡,zunnu
𒆳𒁖𒁕,xaddaKda
𒊕𒆰,xakkulu
𒊩𒅎𒌅,xalimtu
𒊩𒄮𒉌,xaluxxani
𒊩𒋗,xalxu
𒉺𒅁𒇻,xaplu
𒉺𒅁𒊒,xapru
𒊭𒄊𒌋,xawiru
𒋚𒇻,xihlu
𒆷𒊒,xikaru
𒋝𒉡,xiknu
𒈫,xina
𒊿𒉡,xinnu
𒈨𒃮,xipirtu
𒈨𒆳𒌋,xipxatu
𒋝𒇻,xiKlu
𒆜𒆸,xubtu
𒈽,xuh
𒈛𒇻,xukkallu
𒋳𒊒𒍮,xumruXu
𒂟𒌅,Xabtu
𒉈𒀉𒌅,Xahittu
𒇡𒁍,Xarpu
𒀭𒊨,Xillu
𒍦𒊒,Xipru
𒀜𒊒,adru
𒂇𒉡,agannu
𒀝𒇻,akalu
𒀝𒁇𒌋,akbaru
𒋄𒇻,alallu
𒀠𒂁𒌅,alluttu
𒄠𒊒,amru
𒀭𒈭𒋗,andahxu
𒀭𒉈𒄷,anzahhu
𒀊𒁍,appu
𒀊𒌅,aptu
𒀝𒃮𒌋,aKKabu
𒅈𒃰𒌋,arkatu
𒍂𒇻,asallu
𒍂𒊒,asarru
𒊍𒌋,asu
𒀜𒌋𒌋𒌋,atmanu
𒀀𒀀𒇻,ayyalu
𒀀𒀀𒊒,ayyaru
𒊍𒁹𒊒,azamru
𒀸𒋐𒀠𒇻,axnugallu
𒉼𒀸𒇻,bandillu
𒁇𒈬,barmu
𒈦𒇻,baxlu
𒄵𒈬,birmu
𒄵𒋗,birxu
𒆹𒉡,buginnu
𒇧𒂅,bulTu
𒁓𒆪,burku
𒁓𒀸𒌋,burrumu
𒁍𒌍𒉡,buXinnu
𒁮𒄣,damKu
𒁹𒁍,dixpu
𒅁𒁍,ebbu
𒅁𒅔𒉡,epinnu
𒃮𒁍𒁍,gabbubu
𒃮𒇻,gabudu
𒃵𒅂𒀜𒌋,gammidatu
𒃻𒄑𒌅,gariXtu
𒆤𒇻,gidlu
𒄑𒁓𒊒,gixburru
𒊷𒌋,giximmaru
𒁺𒆷,gubla
𒄣𒀪,gum'u
𒄘𒌦𒁺𒅔𒉡,guqupinnu
𒄥𒋗,gurxu
𒆸𒁓,habburu
𒄬𒇴,hallam
𒄬𒇻,hallu
𒄬𒍮,halXu
𒄩𒁹𒄯𒌅,hammurtu
𒄯𒋗,harxu
𒄯𒁳𒌋,harTibu
